video_id,gt_count,pred_count,ratio_pred_gt,recall,precision,f1_score
P10T07C05,103,441,4.28,90.29,21.09,34.19
P10T07C04,81,418,5.16,96.3,18.66,31.26
P10T05C04,72,301,4.18,98.61,23.59,38.07
P10T01C05,74,482,6.51,93.24,14.32,24.82
P10T11C03,111,432,3.89,74.77,19.21,30.57
P10T11C07,14,3,0.21,21.43,100.0,35.29
P10T13C03,95,329,3.46,74.74,21.58,33.49
P10T03C05,94,482,5.13,88.3,17.22,28.82
P10T06C05,77,317,4.12,93.51,22.71,36.55
P10T14C06,47,124,2.64,61.7,23.39,33.92
P10T12C06,92,255,2.77,56.52,20.39,29.97
P10T10C01,144,333,2.31,72.92,31.53,44.03
P10T02C04,79,329,4.16,96.2,23.1,37.25
P11T01C04,43,57,1.33,48.84,36.84,42.0
P11T13C06,95,370,3.89,60.0,15.41,24.52
P11T11C07,47,264,5.62,76.6,13.64,23.15
P11T03C04,93,284,3.05,86.02,28.17,42.44
P11T09C01,53,118,2.23,58.49,26.27,36.26
P11T15C01,18,75,4.17,94.44,22.67,36.56
P11T10C01,30,44,1.47,53.33,36.36,43.24
P11T12C03,85,277,3.26,41.18,12.64,19.34
P11T08C01,89,345,3.88,92.13,23.77,37.79
P11T04C04,87,352,4.05,90.8,22.44,35.99
P16T07C01,58,137,2.36,75.86,32.12,45.13
P16T07C02,72,203,2.82,83.33,29.56,43.64
P16T15C07,49,113,2.31,79.59,34.51,48.15
P16T15C06,76,95,1.25,39.47,31.58,35.09
P16T13C03,29,102,3.52,44.83,12.75,19.85
P16T03C04,43,174,4.05,90.7,22.41,35.94
P16T11C01,17,66,3.88,82.35,21.21,33.73
P16T13C06,49,94,1.92,44.9,23.4,30.77
P16T11C02,18,43,2.39,55.56,23.26,32.79
P16T06C02,145,169,1.17,55.86,47.93,51.59
P16T04C04,48,176,3.67,70.83,19.32,30.36
P16T14C06,161,227,1.41,44.72,31.72,37.11
P16T08C02,60,181,3.02,86.67,28.73,43.15
P16T02C05,77,150,1.95,77.92,40.0,52.86
P16T12C07,75,68,0.91,28.0,30.88,29.37
P16T12C06,154,317,2.06,48.05,23.34,31.42
P20T02C04,57,110,1.93,75.44,39.09,51.5
P20T02C05,66,116,1.76,69.7,39.66,50.55
P20T16C07,102,107,1.05,50.0,47.66,48.8
P20T04C04,68,199,2.93,73.53,25.13,37.45
P20T06C04,123,247,2.01,64.23,31.98,42.7
P20T16C03,229,487,2.13,68.12,32.03,43.58
P20T13C03,187,356,1.9,55.61,29.21,38.31
P20T03C04,69,218,3.16,81.16,25.69,39.02
P20T01C04,45,138,3.07,71.11,23.19,34.97
P20T13C07,79,117,1.48,65.82,44.44,53.06
P20T05C05,110,208,1.89,57.27,30.29,39.62
P20T07C04,105,252,2.4,74.29,30.95,43.7
P20T07C05,112,300,2.68,68.75,25.67,37.38
P18T12C01,157,217,1.38,60.51,43.78,50.8
P18T10C02,86,271,3.15,80.23,25.46,38.66
P18T08C05,94,345,3.67,67.02,18.26,28.7
P18T14C07,44,54,1.23,61.36,50.0,55.1
P18T06C05,27,125,4.63,40.74,8.8,14.47
P18T03C05,30,109,3.63,83.33,22.94,35.97
P18T11C02,50,133,2.66,84.0,31.58,45.9
P18T11C01,44,126,2.86,79.55,27.78,41.18
P18T01C05,27,140,5.19,92.59,17.86,29.94
P18T05C05,72,273,3.79,84.72,22.34,35.36
P18T07C05,29,36,1.24,20.69,16.67,18.46
P18T09C01,136,318,2.34,61.76,26.42,37.0
P18T15C07,120,141,1.18,49.17,41.84,45.21
P02T05C05,18,68,3.78,83.33,22.06,34.88
P02T17C05,61,205,3.36,85.25,25.37,39.1
P02T07C04,50,239,4.78,96.0,20.08,33.22
