video_id,gt_count,pred_count,ratio_pred_gt,recall,precision,f1_score
P10T07C05,103,278,2.7,72.82,26.98,39.37
P10T07C04,81,254,3.14,80.25,25.59,38.81
P10T05C04,72,192,2.67,81.94,30.73,44.7
P10T01C05,74,296,4.0,78.38,19.59,31.35
P10T11C03,111,315,2.84,54.95,19.37,28.64
P10T11C07,14,2,0.14,7.14,50.0,12.5
P10T13C03,95,242,2.55,54.74,21.49,30.86
P10T03C05,94,251,2.67,74.47,27.89,40.58
P10T06C05,77,183,2.38,76.62,32.24,45.38
P10T14C06,47,74,1.57,25.53,16.22,19.83
P10T12C06,92,152,1.65,43.48,26.32,32.79
P10T10C01,144,209,1.45,45.14,31.1,36.83
P10T02C04,79,210,2.66,83.54,31.43,45.67
P11T01C04,43,38,0.88,34.88,39.47,37.04
P11T13C06,95,207,2.18,55.79,25.6,35.1
P11T11C07,47,194,4.13,44.68,10.82,17.43
P11T03C04,93,183,1.97,65.59,33.33,44.2
P11T09C01,53,77,1.45,37.74,25.97,30.77
P11T15C01,18,46,2.56,61.11,23.91,34.38
P11T10C01,30,33,1.1,36.67,33.33,34.92
P11T12C03,85,248,2.92,49.41,16.94,25.23
P11T08C01,89,88,0.99,48.31,48.86,48.59
P11T04C04,87,238,2.74,60.92,22.27,32.62
P16T07C01,58,84,1.45,53.45,36.9,43.66
P16T07C02,72,114,1.58,50.0,31.58,38.71
P16T15C07,49,62,1.27,44.9,35.48,39.64
P16T15C06,76,70,0.92,26.32,28.57,27.4
P16T13C03,29,74,2.55,51.72,20.27,29.13
P16T03C04,43,95,2.21,60.47,27.37,37.68
P16T11C01,17,65,3.82,35.29,9.23,14.63
P16T13C06,49,58,1.18,20.41,17.24,18.69
P16T11C02,18,45,2.5,50.0,20.0,28.57
P16T06C02,145,124,0.86,41.38,48.39,44.61
P16T04C04,48,111,2.31,70.83,30.63,42.77
P16T14C06,161,157,0.98,29.81,30.57,30.19
P16T08C02,60,117,1.95,61.67,31.62,41.81
P16T02C05,77,98,1.27,63.64,50.0,56.0
P16T12C07,75,44,0.59,14.67,25.0,18.49
P16T12C06,154,200,1.3,30.52,23.5,26.55
P20T02C04,57,50,0.88,42.11,48.0,44.86
P20T02C05,66,65,0.98,43.94,44.62,44.27
P20T16C07,102,68,0.67,38.24,57.35,45.88
P20T04C04,68,117,1.72,42.65,24.79,31.35
P20T06C04,123,163,1.33,42.28,31.9,36.36
P20T16C03,229,337,1.47,39.3,26.71,31.8
P20T13C03,187,279,1.49,37.97,25.45,30.47
P20T03C04,69,93,1.35,36.23,26.88,30.86
P20T01C04,45,98,2.18,64.44,29.59,40.56
P20T13C07,79,61,0.77,44.3,57.38,50.0
P20T05C05,110,121,1.1,50.91,46.28,48.48
P20T07C04,105,176,1.68,45.71,27.27,34.16
P20T07C05,112,176,1.57,50.89,32.39,39.58
P18T12C01,157,135,0.86,35.67,41.48,38.36
P18T10C02,86,174,2.02,59.3,29.31,39.23
P18T08C05,94,192,2.04,35.11,17.19,23.08
P18T14C07,44,37,0.84,40.91,48.65,44.44
P18T06C05,27,49,1.81,40.74,22.45,28.95
P18T03C05,30,57,1.9,50.0,26.32,34.48
P18T11C02,50,108,2.16,48.0,22.22,30.38
P18T11C01,44,50,1.14,38.64,34.0,36.17
P18T01C05,27,75,2.78,59.26,21.33,31.37
P18T05C05,72,147,2.04,72.22,35.37,47.49
P18T07C05,29,12,0.41,17.24,41.67,24.39
P18T09C01,136,41,0.3,20.59,68.29,31.64
P18T15C07,120,78,0.65,32.5,50.0,39.39
P02T05C05,18,21,1.17,83.33,71.43,76.92
P02T17C05,61,100,1.64,67.21,41.0,50.93
P02T07C04,50,114,2.28,72.0,31.58,43.9
P02T03C07,6,7,1.17,66.67,57.14,61.54
P02T03C03,6,9,1.5,50.0,33.33,40.0
P02T01C06,70,165,2.36,48.57,20.61,28.94
P02T11C02,101,151,1.5,34.65,23.18,27.78
P02T16C06,26,138,5.31,42.31,7.97,13.41
P02T08C05,67,122,1.82,65.67,36.07,46.56
P02T04C04,51,76,1.49,56.86,38.16,45.67
P02T06C05,87,44,0.51,21.84,43.18,29.01
P02T02C07,98,141,1.44,54.08,37.59,44.35
P02T02C06,6,10,1.67,50.0,30.0,37.5
P02T02C03,84,138,1.64,44.05,26.81,33.33
P14T08C04,103,171,1.66,63.11,38.01,47.45
P14T04C05,142,200,1.41,57.75,41.0,47.95
P14T06C05,166,268,1.61,58.43,36.19,44.7
P14T14C06,60,162,2.7,48.33,17.9,26.13
P14T02C04,54,174,3.22,96.3,29.89,45.61
P14T10C02,108,164,1.52,58.33,38.41,46.32
P14T05C05,245,336,1.37,56.73,41.37,47.85
