video_id,gt_actions_count,predicted_actions_count,recall_score_percent,status
P10T07C05,103,278,72.82,OK
P10T07C04,81,254,80.25,OK
P10T05C04,72,192,81.94,OK
P10T01C05,74,296,78.38,OK
P10T11C03,111,315,54.95,OK
P10T11C07,14,2,7.14,OK
P10T13C03,95,242,55.79,OK
P10T03C05,94,251,74.47,OK
P10T06C05,77,183,76.62,OK
P10T14C06,47,74,25.53,OK
P10T12C06,92,152,43.48,OK
P10T10C01,144,209,45.14,OK
P10T02C04,79,210,83.54,OK
P11T01C04,43,38,34.88,OK
P11T13C06,95,207,55.79,OK
P11T11C07,47,194,44.68,OK
P11T03C04,93,183,65.59,OK
P11T09C01,53,77,37.74,OK
P11T15C01,18,46,61.11,OK
P11T10C01,30,33,36.67,OK
P11T12C03,85,248,49.41,OK
P11T08C01,89,88,48.31,OK
P11T04C04,87,238,60.92,OK
P16T07C01,58,84,53.45,OK
P16T07C02,72,114,50.0,OK
P16T15C07,49,62,44.9,OK
P16T15C06,76,70,26.32,OK
P16T13C03,29,74,51.72,OK
P16T03C04,43,95,60.47,OK
P16T11C01,17,65,35.29,OK
P16T13C06,49,58,20.41,OK
P16T11C02,18,45,50.0,OK
P16T06C02,145,124,41.38,OK
P16T04C04,48,111,70.83,OK
P16T14C06,161,157,29.81,OK
P16T08C02,60,117,61.67,OK
P16T02C05,77,98,63.64,OK
P16T12C07,75,44,14.67,OK
P16T12C06,154,200,30.52,OK
P20T02C04,57,50,42.11,OK
P20T02C05,66,65,43.94,OK
P20T16C07,102,68,38.24,OK
P20T04C04,68,117,42.65,OK
P20T06C04,123,163,42.28,OK
P20T16C03,229,337,39.3,OK
P20T13C03,187,279,37.97,OK
P20T03C04,69,93,36.23,OK
P20T01C04,45,98,64.44,OK
P20T13C07,79,61,44.3,OK
P20T05C05,110,121,50.91,OK
P20T07C04,105,176,45.71,OK
P20T07C05,112,176,50.89,OK
P18T12C01,157,135,35.67,OK
P18T10C02,86,174,59.3,OK
P18T08C05,94,192,35.11,OK
P18T14C07,44,37,40.91,OK
P18T06C05,27,49,40.74,OK
P18T03C05,30,57,50.0,OK
P18T11C02,50,108,48.0,OK
P18T11C01,44,50,38.64,OK
P18T01C05,27,75,59.26,OK
P18T05C05,72,147,72.22,OK
P18T07C05,29,12,17.24,OK
P18T09C01,136,16,8.09,OK
